country,region,sub-region,year,population,source
France,Lorraine,Meurthe-et-Moselle,2020,731533,https://www.insee.fr/fr/statistiques/1893198
France,Lorraine,Meuse,2020,181387,https://www.insee.fr/fr/statistiques/1893199
France,Lorraine,Moselle,2020,1041009,https://www.insee.fr/fr/statistiques/1893200
France,Lorraine,Vosges,2020,361749,https://www.insee.fr/fr/statistiques/1893201
Deutschland,Rheinland-Pfalz,Koblenz,2020,114052,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Ahrweiler,2020,130086,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Altenkirchen,2020,128805,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Bad Kreuznach,2020,158345,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Birkenfelt,2020,80951,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Cochem-Zell,2020,61375,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Mayen-Koblenz,2020,214434,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Neuwid,2020,182811,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Rhein-HunsrÅck-Kreis,2020,103163,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Rhein-Lahn-Kreis,2020,122297,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Westerwaldkreis,2020,201904,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Trier,2020,111528,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,"Bernkastel-Wittlich, Landkreis",2020,112483,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Eifelkreis Bitburg-PrÅm,2020,99058,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Vulkaneifel,2020,60646,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Trier-Saarburg,2020,149398,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Frankenthal (Pfalz),2020,48762,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Kaiserslautern,2020,100030,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Landau in der Pfalz,2020,46881,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Ludwigshafen am Rhein,2020,172253,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Mainz,2020,218578,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Neustadt an der Weinstra·e,2020,53264,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Pirmasens,2020,40231,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Speyer,2020,50561,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Worms,2020,83542,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,ZweibrÅcken,2020,34193,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Alzey-Worms,2020,129687,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Bad DÅrkheim,2020,132671,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Donnersbergkreis,2020,75325,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Germersheim,2020,129013,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Kaiserslautern,2020,105979,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Kusel,2020,70219,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,SÅdliche Weinstra·e,2020,110521,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Rhein-Pfalz-Kreis,2020,154609,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,Mainz-Bingen,2020,211417,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Deutschland,Rheinland-Pfalz,SÅdwestpfalz,2020,94831,https://www.regionalstatistik.de/genesis/online?operation=previous&levelindex=2&step=1&titel=Tabellenaufbau&levelid=1612443705743&levelid=1612443668710#abreadcrumb
Belgique,Wallonie,Brabant Wallon,2020,406019,https://statbel.fgov.be/fr/open-data/population-par-lieu-de-residence-nationalite-etat-civil-age-et-sexe-10
Belgique,Wallonie,Hainaut,2020,1346840,https://statbel.fgov.be/fr/open-data/population-par-lieu-de-residence-nationalite-etat-civil-age-et-sexe-11
Belgique,Wallonie,Liäge,2020,1109800,https://statbel.fgov.be/fr/open-data/population-par-lieu-de-residence-nationalite-etat-civil-age-et-sexe-12
Belgique,Wallonie,Luxembourg,2020,286752,https://statbel.fgov.be/fr/open-data/population-par-lieu-de-residence-nationalite-etat-civil-age-et-sexe-13
Belgique,Wallonie,Namur,2020,495832,https://statbel.fgov.be/fr/open-data/population-par-lieu-de-residence-nationalite-etat-civil-age-et-sexe-14
